name,lat,lon,country,name_slug
Ochsenfurt,49.6631062,10.0736945,DE,ochsenfurt
Lindauer Allee,52.5754161,13.3384251,DE,lindauer-allee
Retzbach-Zellingen,49.9055365,9.8139812,DE,retzbach-zellingen
Leopoldstal,51.8444649,8.9710978,DE,leopoldstal
Horn-Bad Meinberg,51.8815659,8.9551479,DE,horn-bad-meinberg
Bennemühlen,52.5814053,9.7264354,DE,bennemuhlen
Bissendorf,52.5224385,9.7481226,DE,bissendorf
Langenhagen Pferdemarkt,52.4508691,9.7357175,DE,langenhagen-pferdemarkt
Hannover-Vinnhorst,52.4236556,9.7072201,DE,hannover-vinnhorst
Eberswalde Hauptbahnhof,52.8341138,13.7971952,DE,eberswalde-hauptbahnhof
Jannowitzbrücke,52.5153554,13.4181732,DE,jannowitzbrucke
Innsbrucker Platz,52.478987,13.3436736,DE,innsbrucker-platz
Schwäbisch Hall,49.1080592,9.7336683,DE,schwabisch-hall
Rummelsburg,52.501288,13.478367,DE,rummelsburg
Berlin-Lichtenberg,52.5097832,13.4961404,DE,berlin-lichtenberg
Bayerischer Platz,52.4885755,13.3405436,DE,bayerischer-platz
Marzahn,52.5436548,13.5413545,DE,marzahn
Wuhletal,52.5126122,13.5752134,DE,wuhletal
Mahlsdorf,52.5120903,13.6104126,DE,mahlsdorf
Syke,52.9165346,8.8100791,DE,syke
Bremen-Sebaldsbrück,53.061219,8.8878228,DE,bremen-sebaldsbruck
Neustadt (Dosse),52.8533306,12.4500127,DE,neustadt-dosse
Falkensee,52.5597359,13.0894796,DE,falkensee
Golm,52.4097952,12.9718767,DE,golm
Potsdam Park Sanssouci,52.3945735,13.0136905,DE,potsdam-park-sanssouci
Birkenwerder,52.6886604,13.2886929,DE,birkenwerder
Groß Schönebeck,52.9042351,13.537477,DE,gro-schonebeck
Saarmund,52.3236224,13.1392051,DE,saarmund
Ferch-Lienewitz,52.303736,12.9641369,DE,ferch-lienewitz
Hohenschönhausen,52.5662755,13.5124988,DE,hohenschonhausen
Wartenberg,52.572982,13.5038322,DE,wartenberg
Marienfelde,52.4242122,13.3746844,DE,marienfelde
Werder (Havel),52.3928748,12.9269844,DE,werder-havel
Kirchmöser,52.375746,12.4215881,DE,kirchmoser
Walsrode,52.8653496,9.6012119,DE,walsrode
Bad Neustadt (Saale),50.3282279,10.2261015,DE,bad-neustadt-saale
Mellrichstadt Bf,50.4244694,10.3066804,DE,mellrichstadt-bf
Landsberg (bei Halle/Saale),51.532554,12.1662681,DE,landsberg-bei-halle/saale
Ahrensfelde (Bz Bremen),53.2333987,8.8182576,DE,ahrensfelde-bz-bremen
Worpswede,53.226606,8.9154764,DE,worpswede
Bismarckstraße,52.5115148,13.3052393,DE,bismarckstrae
Richard-Wagner-Platz,52.517387,13.306588,DE,richard-wagner-platz
Schwaan,53.9389493,12.1179181,DE,schwaan
Bad Bevensen,53.0785165,10.573915,DE,bad-bevensen
Trebgast,50.0652487,11.5522948,DE,trebgast
Bayreuth Hbf,49.9498313,11.5798173,DE,bayreuth-hbf
Harsdorf,50.0277334,11.5662468,DE,harsdorf
Dauenhof,53.852561,9.6807433,DE,dauenhof
Schönberg (Vogtl),50.5284638,11.961153,DE,schonberg-vogtl
Gutenfürst,50.4187761,11.9609136,DE,gutenfurst
Kirchenlaibach,49.8699667,11.7763403,DE,kirchenlaibach
Creußen (Oberfr),49.849743,11.6283006,DE,creuen-oberfr
Neuhaus (Pegnitz),49.6266426,11.5517052,DE,neuhaus-pegnitz
Eilenburg,51.4518015,12.6368329,DE,eilenburg
Pasewalk,53.5150049,13.9892981,DE,pasewalk
Blumenthal,53.0765413,12.3339439,DE,blumenthal
Kremmen,52.7534082,13.0399856,DE,kremmen
Calbe (Saale) Ost,51.9206223,11.810498,DE,calbe-saale-ost
Schkeuditz,51.4024585,12.2221962,DE,schkeuditz
Angern-Rogätz,52.3386172,11.7597095,DE,angern-rogatz
Hohenwulsch,52.6676295,11.5948789,DE,hohenwulsch
Brunau-Packebusch,52.751537,11.4837956,DE,brunau-packebusch
Salzwedel,52.8582934,11.1611006,DE,salzwedel
Schnega,52.8690357,10.89041,DE,schnega
Wieren,52.8926052,10.655688,DE,wieren
Drangstedt,53.6180213,8.7414279,DE,drangstedt
Bad Bederkesa,53.6303723,8.8279184,DE,bad-bederkesa
Kyritz,52.9424017,12.3909777,DE,kyritz
Fürth (Bayern) Hauptbahnhof,49.4697537,10.9899358,DE,furth-bayern-hauptbahnhof
Crailsheim,49.138268,10.0642947,DE,crailsheim
Dombühl,49.252063,10.2985627,DE,dombuhl
Sangerhausen,51.4798304,11.2943896,DE,sangerhausen
Neumarkt (Oberpf),49.2733225,11.4566709,DE,neumarkt-oberpf
Zirndorf,49.4438325,10.9586597,DE,zirndorf
Schandelah,52.2672784,10.6855896,DE,schandelah
Königslutter,52.257107,10.8126962,DE,konigslutter
Helmstedt,52.2220333,11.0105391,DE,helmstedt
Öhringen Hauptbahnhof,49.203252,9.5026549,DE,ohringen-hauptbahnhof
Seddin,52.2915287,12.9845109,DE,seddin
Luckau Zentrum,51.8579126,13.7138576,DE,luckau-zentrum
Uckro Süd,51.8519254,13.6090415,DE,uckro-sud
Storkow (Mark),52.251657,13.9209005,DE,storkow-mark
Friedersdorf (bei Königs Wusterhausen),52.2898231,13.7856424,DE,friedersdorf-bei-konigs-wusterhausen
Dahlen (Sachs),51.3510448,12.9837569,DE,dahlen-sachs
Hesedorf,53.4727572,9.1953982,DE,hesedorf
Marienfeld,51.9503614,8.2777387,DE,marienfeld
Gütersloh Nord,51.9091312,8.3872415,DE,gutersloh-nord
Verl,51.8807295,8.5090287,DE,verl
Kaunitz,51.8580903,8.5674561,DE,kaunitz
Rahden,52.4332341,8.6239261,DE,rahden
Halle-Südstadt,51.4479883,11.9508026,DE,halle-sudstadt
Wennigsen (Deister),52.2794663,9.5725715,DE,wennigsen-deister
Landungsbrücken,53.5462334,9.9711435,DE,landungsbrucken
Rötgesbüttel,52.4136185,10.523316,DE,rotgesbuttel
Eidelstedt Zentrum,53.6099521,9.9011942,DE,eidelstedt-zentrum
Haste,52.3796851,9.3890908,DE,haste
Hohen Neuendorf (b Berlin),52.66865,13.2870408,DE,hohen-neuendorf-b-berlin
Sanitz (b Rostock),54.0750292,12.3766833,DE,sanitz-b-rostock
Fredersdorf (b Berlin),52.5262465,13.7604458,DE,fredersdorf-b-berlin
Rodleben,51.8974718,12.2173582,DE,rodleben
Groß Schwaß,54.0768375,12.0475371,DE,gro-schwa
Blankenberg (Meckl),53.7723504,11.7146716,DE,blankenberg-meckl
Eisenacher Straße,52.4895529,13.3501694,DE,eisenacher-strae
Barnten,52.1952696,9.8148582,DE,barnten
Stechlinsee,53.1491192,12.9855428,DE,stechlinsee
